app_visible_concept	app_variable_field_name	source_exported_field	current_semantics	desired_semantics	defect_or_risk	required_app_change
Broad development phase	logical key "development_phase" (config-mapped)	parasite_stage (physical column, mapped via config/data_columns.yml)	Independent categorical filter/color dimension; never conflated with detailed stage in live code	Same, but must be logically consistent with the detailed field at every value (fixes D020's Blood/Sporozoite contradiction upstream)	Config logical-key naming is inverted (development_phase maps to parasite_stage singular, parasite_stages plural maps to life_cycle_stage) - a naming trap that has already produced dead code elsewhere (D063)	Rename config logical keys to unambiguous names (e.g. broad_stage / detailed_stage) matching the new metadata_schema.tsv field names parasite_broad_stage / harmonized_life_cycle_stage
Detailed life-cycle stage	logical key "parasite_stages" (config-mapped)	life_cycle_stage (physical column)	Second independent filter/color dimension, always shown alongside broad stage	Same; Schizont(Blood)/Schizont(Liver) pre-merging with broad stage should be documented so broad+detailed filter combinations never silently return zero rows	Filtering development_phase=Liver stage AND parasite_stages=Schizont (Blood stage) silently returns zero rows with no explanation (D020-adjacent risk)	Add a UI hint/validation when a broad+detailed filter combination is logically impossible, rather than silently showing an empty result
Dead filter-population code	mr_data$development_phase, mr_data$parasite_stages (literal, uncofigured)	none - these columns do not exist	Never executed (unused functions in metadata_filter_module.R/server.R L626-667)	Should not exist in a sourced production file at all	D063: latent trap - directly hardcodes the wrong (plural/non-existent) column names; would silently produce empty dropdowns if re-wired	Delete or fix functions/metadata_filter_module.R's initialize_filter_choices/grouped_choices/apply_filter code path to use get_data_column()
Live filter population (correct)	input$parasite_stages<suffix>, input$development_phase<suffix>	via get_data_column("parasite_stages")/get_data_column("development_phase")	Correctly uses config indirection	No change needed	None (this path is correct)	None
Hour post invasion	hour_post_invasion	hour_post_invasion (character, to be renamed idc_reference_similarity_label)	Categorical multi-select filter only; sorted numerically for display; no continuous-axis/color-by use	Rename field and label to reflect "IDC reference-time similarity classification," not measured HPI; add tooltip/help text distinguishing it from measured time; expose uncertainty fields (idc_similarity_score_delta, idc_similarity_pruned_flag) as optional detail	D058: field name/semantics imply measured biological time when it is a discrete classifier label against a bulk cross-species/cross-platform reference; app currently just inherits this naming, does not add further distortion but also adds no clarifying context	Rename app-facing label from "HPI" to something like "IDC reference-time class"; add explanatory tooltip; do not expose this field for non-blood-stage populations (should already be NA post-repair)
Gametocyte sex labels	values within life_cycle_stage: "Male gametocyte"/"Female gametocyte"	life_cycle_stage / new pred_gametocyte_sex field	Ordinary categorical levels; hardcoded color override for "Female gametocyte" only	Read provenance-tagged pred_gametocyte_sex and source_sex_annotation as separate, clearly labeled fields in the app; symmetric color treatment for both sexes	D048,D066: hardcoded numeric-cluster-based labels are not reproducible; color override asymmetric and string-matched (breaks silently on rename)	Once metadata schema separates source_sex_annotation from pred_gametocyte_sex, expose both in the app with clear labels ("author-reported" vs "PlaViSca-inferred"); fix color override to cover both sexes and source from config, not a hardcoded string map
Treatment	input$treatment, "Treatment" plot	treatment (character, includes literal "NA" for 88% of rows, plus "No_Treatment" and "None" as distinct categories)	Filter/plot shows all three no-treatment spellings as separate, unreconciled categories; literal "NA" indistinguishable from a deliberately-named category	One canonical "No_Treatment"/"study_control" category plus true (non-string) missingness handled by the app's existing NA-relabeling logic	D062,D068: three-way category fragmentation confuses "not treated" with "not recorded"; literal "NA" string never routed through the app's NA (missing) relabeling path	Fix upstream export to never emit literal "NA" strings (flatten_data.R / study scripts); once fixed, no app code change is strictly required, but recommend auditing prepare_categorical_colors() to also catch any residual literal "NA"/"None" strings defensively
Day post infection	day_post_infection	day_post_infection (character, includes literal "NA" for ~3% of rows)	Same NA-string issue as treatment, smaller magnitude	True missingness only, integer type	D062	Fix upstream export; same defensive app-side NA-string check recommended
NA-context labeling	prepare_categorical_colors() blood_stage special case	none (dead code - "blood_stage" is not a column)	Unreachable branch; only real R NA is relabeled "NA (missing)"; literal "NA" strings pass through unlabeled	Remove the dead "blood_stage" branch; add a defensive check that also relabels literal "NA"/"None" string values wherever they appear, pending the upstream fix	D065: unreachable dead logic referencing a non-existent column name	Correct or remove the blood_stage branch in functions/embedding_plots.R; add generic literal-"NA"-string handling as defense in depth
Category legend/plot ordering	prepare_categorical_colors() sort()	life_cycle_stage / any categorical color field	Alphabetical ordering, not biological progression	Biologically-ordered factor levels (sporozoite -> liver -> blood ring/trophozoite/schizont -> gametocyte)	D068: cosmetic but misleading ordering for lifecycle biology	Add an explicit, config-sourced biological ordering list for harmonized_life_cycle_stage; keep it in the same config layer as get_data_column() to avoid a second hardcoded vocabulary
