study	population	source_annotation	inferred_annotation	override_applied	final_current_field	desired_repaired_behavior
Mancio-Silva2022	Non.Committed_Hypnozoite / AP2Gneg_Hypnozoite (231 cells)	source State=Hypnozoite	none (historical refine_state rule retained Hypnozoite from source State)	none	Hypnozoite	Preserve source_life_cycle_stage=Hypnozoite verbatim; harmonized_life_cycle_stage=Hypnozoite; parasite_broad_stage=Liver stage
Mancio-Silva2022	Non.Committed_Replicative / Sexually.Committed_Replicative (1221 cells)	source State=Replicative	historical refine_state used Table S2 topcell reference-similarity label (Ring/Trophozoite/Merozoite/EEF/gametocyte/liver schizont)	topcell inference wins over broad State for the detailed label	varies (Ring/Trophozoite/Merozoite/EEF/gametocyte/Schizont (Liver stage))	Keep source_state=Replicative and source_topcell_label as two distinct provenance fields; harmonized_life_cycle_stage derived transparently from topcell with source_stage_provenance=source_state_defined+singleR_inferred combination documented
Mancio-Silva2022	14 ".1" duplicate records (no Updated_names match)	none (no exact match in the historical refine_state join)	PlaViSca IDC/cluster fallback (4 Female gametocyte, 7 Schizont (Liver stage), 2 Trophozoite, 1 Merozoite)	fallback wins by default, not by design	varies per historical_stage_comparison.tsv	Pending D011 decision; if these 14 records are excluded per the approved policy, this precedence row becomes moot
Sa2020	Author S5 Data sex-labeled cells (1532 present in PlaViSca)	source Type=Male/Female gametocyte (Fig 5)	cluster-derived pred_gametocyte	current buggy import (D014/D015) drops most source labels before any comparison; where present, source wins for 1344/1532 agreeing cells; 188 disagree	life_cycle_stage (source label if matched via broken filter, else cluster label)	source_sex_annotation (author Fig 5, corrected %in% + crosswalk import) is authoritative and stored separately from pred_gametocyte (cluster); reconcile the 188 conflicts via explicit human review into adjudicated_display_stage
Sa2020	all other cells (7587 Asexual per S5 Data)	source Type=Asexual	cluster-derived pred_gametocyte / idc_heuristic_stage_bin	cluster/IDC inference wins for detailed asexual staging	life_cycle_stage	harmonized_life_cycle_stage = idc_heuristic_stage_bin for Asexual source cells; source_sex_annotation=Asexual preserved separately
Ruberto2022_1	Hypnozoite (1147 cells)	source liver_form=Hypnozoite (from authors' RenameIdents '1'="Hypnozoites")	blood-cycle SingleR HPI + pred_gametocyte (currently applied despite biological inapplicability)	source liver_form correctly wins for life_cycle_stage today; HOWEVER pred_gametocyte/HPI are computed and exposed regardless (D037)	life_cycle_stage=Hypnozoite (correct) but pred_gametocyte/hour_post_invasion also populated (incorrect exposure)	source_life_cycle_stage=Hypnozoite wins for harmonized_life_cycle_stage and parasite_broad_stage=Liver stage; pred_gametocyte_sex and idc_reference_similarity_label must be NA (gated out) for all liver-stage cells
Ruberto2022_1	Schizont (Liver stage) (291 cells)	source liver_form=Schizont	blood-cycle SingleR HPI + pred_gametocyte (currently applied)	source wins for life_cycle_stage; HPI/gametocyte still leak (D037)	life_cycle_stage=Schizont (Liver stage)	Same gating fix as above; note Schizont(Liver) must never be confused with Schizont(Blood stage) downstream
Ruberto2022_1	538 near-empty-expression cells (replicate 2, D036)	source liver_form (Hypnozoite/Schizont, from a real-signal author object)	blood-cycle SingleR HPI + pred_gametocyte computed on near-zero counts	current code computes inference regardless of expression magnitude	life_cycle_stage=source value; pred_gametocyte/HPI populated from near-zero signal	Add a nonzero-expression gate before any expression-derived inference (pred_gametocyte, idc_reference_similarity_label); these 538 cells must show NA for both until D036 is resolved
Ruberto2022_2	all 9947 cells (source Stage=="Sporozoite")	source-selection-defined Stage=Sporozoite	unconditional gametocyte-cluster override (lines 329-331) has NOT fired to date but is NOT scoped to protect this population (D045); blood-cycle HPI is computed and leaks into 100% of cells (D044)	source selection wins for parasite_stages today only by data accident	parasite_stages=Sporozoite (correct by accident); hour_post_invasion populated for all 9947 (incorrect)	source_stage_provenance=source_selection_defined must be set and explicitly checked by the gametocyte-cluster override before it is allowed to run; idc_reference_similarity_label must be NA for all source-selection-defined mosquito-stage cells
Hazzard2022	freeborni/stephensi sporozoites, runs 498/499 (2858 cells)	source run/sample defines these as sporozoites	blood-cycle SingleR HPI leaks into detailed field only, not broad field (D021); detailed override (parasite_stages="Sporozoite") applied but broad parasite_stage left at Blood stage (D020); this run/sample override is also NOT durably protected against the later, unconditional gametocyte-cluster override (lines 329-331), which can re-overwrite it before the post-integration Anopheles+gametocyte deletion filter runs (D049, same mechanism as Ruberto2022_2 above)	detailed override wins for life_cycle_stage; broad field is stale/unpropagated	life_cycle_stage=Sporozoite, parasite_stage=Blood stage (CONTRADICTORY)	source-defined run override must set both harmonized_life_cycle_stage=Sporozoite AND parasite_broad_stage=Sporozoite stage atomically; idc_reference_similarity_label must be NA; source_stage_provenance=source_selection_defined must also be checked by the gametocyte-cluster override (D045) before it is allowed to run, exactly as for Ruberto2022_2
