defect_id	claimed_fixed	code_location	implementation_summary	matches_audit_spec	potential_regression	classification
D001	yes	scripts/silva.R:68	Correct PMID constant.	yes	none found	VERIFIED FIX
D002	yes	scripts/silva.R:53-78	Uses a keyed group table, but writes semicolon-delimited run sets into scalar per-cell run_id.	partial	violates run relation/scalar accession schema	PARTIAL FIX
D003	yes	scripts/silva.R:85-88	Keyed source day converted to integer.	yes	none found	VERIFIED FIX
D004	yes	scripts/silva.R:90-98	Preserves CTRL/PI4K and maps to study_control/PI4K_inhibitor.	yes	none found	VERIFIED FIX
D005	yes	scripts/silva.R:74-83	Registered instrument is keyed; publication protocol/conflict is left NA without an explicit conflict flag.	partial	conflict provenance remains implicit	PARTIAL FIX
D006	yes	scripts/silva.R:100-105	Splits host and parasite geography but assigns Ubon-Ratchathani to every cell despite country-only authority.	no	turns unresolved province into asserted fact	INCORRECT FIX
D007	yes	scripts/pipeline_lib.R:18-25; scripts/silva.R:71	Shared preprocessing constant is used, but the app repository/config is outside this diff.	partial	end-to-end spelling consistency unverified	PARTIAL FIX
D008	yes	scripts/silva.R:29-38,124-138	Only selected fields are copied; 14 .1 records fail exact Updated_names match and lose source metadata.	partial	incomplete source provenance	PARTIAL FIX
D009	yes	scripts/silva.R:31-37,133-155	Exact match is attempted, but Replicative is blanket-converted to liver schizont and source topcell is not preserved.	no	changes established source/inference precedence	INCORRECT FIX
D010	yes	scripts/silva.R:130-131,157-159	Source ID and reconstructed token are retained; final candidate export has not been rebuilt/checked.	partial	none beyond unverified propagation	PARTIAL FIX
D013	yes	scripts/silva.R:117-121	num_srr is removed but three run counts remain replicated per cell; retained count is also 58 rather than the 23 associated runs.	no	schema granularity and value error	INCORRECT FIX
D014	yes	scripts/singleR.R:460-463	Uses %in% for sex labels.	yes	execution blocked elsewhere	VERIFIED FIX
D015	yes	scripts/singleR.R:439-451	Correct NIH/PB_MACS prefix map.	yes	execution blocked elsewhere	VERIFIED FIX
D016	yes	scripts/sa2020_pv_analysis_script.R:217-219	Correct unqualified 10x_Chromium label.	yes	none found	VERIFIED FIX
D017	yes	scripts/sa2020_pv_analysis_script.R:213-219,263-275	Separates registry/experimental site from strain origin.	yes	none found	VERIFIED FIX
D019	yes	scripts/sa2020_pv_analysis_script.R:233-248,306-309,405-408	Animal pairing is explicit, but source run counts remain per-cell and retained is incorrectly set to 9766 cells.	partial	wrong study-provenance granularity/value	PARTIAL FIX
D020	yes	scripts/hazzard2022_pv_analysis_script.R:225-263; scripts/singleR.R:263-276	singleR expects source sporozoite fields that Hazzard2022 never creates, so runs 498/499 are not overridden.	no	confirmed contradiction would recur/not be repaired	INCORRECT FIX
D021	yes	scripts/singleR.R:46-89	Pre-gating intent is sound, but Hazzard2022 has no total_umi_count and becomes NA-eligible.	no	SingleR subset path fails before annotation	INCORRECT FIX
D023	yes	scripts/hazzard2022_pv_analysis_script.R:212-217	Keeps registered and publication protocol instruments separately.	yes	none found	VERIFIED FIX
D024	yes	scripts/hazzard2022_pv_analysis_script.R:252-257	Uses true NA; unresolved host/day remain unasserted rather than fabricated.	partial	authoritative population reconciliation still open	PARTIAL FIX
D025	yes	audit/shared_pipeline decision DEC08 vs Phase-1 implementation	Required publication/accession/QC audit was not completed, yet Hazzard-specific metadata was finalized.	no	repairs precede required evidence closure	INCORRECT FIX
D026	yes	scripts/ref/hazzard2024_run_table.tsv	All 24 library_id/animal_id mappings match the authoritative table.	yes	none found	VERIFIED FIX
D027	yes	scripts/ref/hazzard2024_run_table.tsv	SRR27021993 is Chesson via keyed table.	yes	none found	VERIFIED FIX
D028	yes	scripts/ref/hazzard2024_run_table.tsv	All 24 days match the authoritative table.	yes	none found	VERIFIED FIX
D029	yes	scripts/ref/hazzard2024_run_table.tsv	Uses unqualified 10x_Chromium.	yes	none found	VERIFIED FIX
D030	yes	scripts/ref/hazzard2024_run_table.tsv	Animal replicate identity and type are keyed for all retained runs.	yes	none found	VERIFIED FIX
D032	yes	scripts/ref/hazzard2024_run_table.tsv; chunk scripts:216-225	Removes num_srr but repeats three study-level counts on every cell.	no	violates authoritative schema granularity	INCORRECT FIX
D033	yes	scripts/pipeline_lib.R:213-258; Hazzard2024 chunk scripts	Replaces positional vectors with keyed run-table application.	yes	helper still accepts NA/duplicate data keys	VERIFIED FIX
D034	yes	scripts/singleR.R:46-89	Hazzard2024 lacks total_umi_count and source PseudoGroup eligibility fields, so intended asexual gate is not operational.	no	atlas annotation build fails/misclassifies sexual cells	INCORRECT FIX
D037	yes	scripts/ruberto2022_1_pv_analysis_script.R:223,360-370; scripts/singleR.R:83-89	Liver tissue and near-zero fields are present and excluded before inference.	yes	D036 itself remains excluded from scope	VERIFIED FIX
D038	yes	scripts/ruberto2022_1_pv_analysis_script.R:214-218	Correct unqualified technology spelling.	yes	none found	VERIFIED FIX
D039	yes	scripts/ruberto2022_1_pv_analysis_script.R:226-229	Preserves source None but harmonizes it to No_Treatment.	yes	none found	VERIFIED FIX
D040	yes	scripts/ruberto2022_2_pv_analysis_script.R:210-214	Separates parasite origin, experimental site, and sequencing site.	yes	none found	VERIFIED FIX
D041	yes	scripts/ruberto2022_2_pv_analysis_script.R:215-218	Correct verified V3 spelling.	yes	none found	VERIFIED FIX
D042	yes	scripts/ruberto2022_2_pv_analysis_script.R:226-227,250-251	Separates field-isolate label from geography.	yes	none found	VERIFIED FIX
D043	yes	scripts/ruberto2022_2_pv_analysis_script.R:221-247	Adds integer host_taxid; legacy host_id remains for compatibility.	yes	legacy alias remains but canonical field is correct	VERIFIED FIX
D044	yes	scripts/ruberto2022_2_pv_analysis_script.R:338-343; scripts/singleR.R:83-89	Source-defined vector tissue is structurally ineligible for IDC.	yes	none found	VERIFIED FIX
D045	yes	scripts/singleR.R:399-419	Source-selection-defined stages are excluded and asserted against gametocyte calls.	yes	marker path itself is broken	VERIFIED FIX
D046	yes	scripts/flatten_data.R:89-114	New names are intended, but legacy aliases remain and no rebuilt export/app contract demonstrates reconciliation.	partial	schema drift remains likely	PARTIAL FIX
D047	yes	scripts/singleR.R:282-302	Uses graph.name and asserts RNA_snn exists.	yes	biological effect remains Phase-2 validation	VERIFIED FIX
D048	yes	scripts/singleR.R:305-395	Replaces numeric IDs, but the implementation has an unnamed-vector index bug, undefined writer, and unsupported fixed thresholds.	no	annotation script cannot complete	INCORRECT FIX
D049	yes	scripts/singleR.R:500-532	Adds source gate and manifest intent, but writer is undefined and non-source Anopheles removal still depends on inferred class.	partial	latent unvalidated removal remains	PARTIAL FIX
D050	yes	scripts/integration.R:79-116	Adds layer assertions, but indexes an unnamed metadata vector by cell IDs, producing NA study membership.	no	Harmony preparation fails before integration	INCORRECT FIX
D051	yes	scripts/integration.R:58-152	Layer-derived grouping and JoinLayers timing are explicitly documented and asserted.	yes	mapping expression needs correction	VERIFIED FIX
D052	yes	scripts/flatten_data.R:232-283	Constructs and saves accumulated top_genes_df with a six-study assertion.	yes	dense export performance remains	VERIFIED FIX
D053	yes	scripts/flatten_data.R:48-87	Cleans metadata names before any_of and asserts survival.	yes	duplicate-clean-name collision is not separately rejected	VERIFIED FIX
D054	yes	scripts/flatten_data.R:31-38,89-114	Candidate-only export is safe, but schema reconciliation is not verifiable until rebuild/app update.	partial	candidate schema may not satisfy current app	PARTIAL FIX
D055	yes	scripts/flatten_data.R:133-165	Sorts and asserts exact row sets/order before cbind.	yes	none found	VERIFIED FIX
D056	yes	scripts/pipeline_lib.R:18-25; scripts/data_source_manipulation.R:40-50	Shared preprocessing constants used; app consumers are not updated in this diff.	partial	end-to-end mismatch remains possible	PARTIAL FIX
D057	yes	scripts/data_source_manipulation.R:28-100	Correct source code values, but no candidate-only path and no regenerated artifact is reviewed.	partial	running script overwrites data/data_source.csv	PARTIAL FIX
D058	yes	scripts/singleR.R:73-213	Renames fields and pre-gates, but total_umi_count is absent for five studies and source sexual labels are imported after eligibility.	no	failure plus circular/late eligibility	INCORRECT FIX
D059	yes	scripts/singleR.R:96-149	Logs dropped genes and records reference provenance/cross-platform semantics.	yes	none found	VERIFIED FIX
D060	yes	scripts/singleR.R:214-222	Persists explicitly named heuristic bins and documents cutoffs as PlaViSca-defined.	yes	none found	VERIFIED FIX
D061	yes	scripts/singleR.R:182-208	Persists raw/pruned-equivalent label, delta.next and pruning flag separately.	yes	execution blocked elsewhere	VERIFIED FIX
D062	yes	scripts/pipeline_lib.R:144-155; scripts/flatten_data.R:116-121	Adds literal-NA assertions, but factor columns escape export checking and run-count/treatment vocabulary lacks central validation.	partial	literal NA factors could pass	PARTIAL FIX
D063	yes	PlaViSca app code (not changed in Phase-1 diff)	Dead hard-coded columns were not repaired.	no	existing defect remains	INCORRECT FIX
D064	yes	PlaViSca app code (not changed in Phase-1 diff)	Hard-coded label/color maps were not repaired.	no	existing defect remains	INCORRECT FIX
D065	yes	PlaViSca app code (not changed in Phase-1 diff)	Unreachable blood_stage branch was not repaired.	no	existing defect remains	INCORRECT FIX
D066	yes	PlaViSca app code (not changed in Phase-1 diff)	Male gametocyte/config color handling was not repaired.	no	existing defect remains	INCORRECT FIX
D067	yes	scripts/data_source_manipulation.R:103-117	Validates bibliography labels against constants at build time, not the required app-startup join against mr_data.	partial	drift can still reach app	PARTIAL FIX
D068	yes	PlaViSca app code (not changed in Phase-1 diff)	Biological lifecycle ordering was not implemented.	no	existing defect remains	INCORRECT FIX
D069	yes	all changed study scripts	No production Chomium spelling remains.	yes	legacy sc_technology field name remains	VERIFIED FIX
