evidence_source	scope	location	used_for
Mancio-Silva2022 AUDIT.md	Mancio-Silva2022 full audit, cross-study preliminary section, Sa2020 full audit, Hazzard2022 preliminary section, Ruberto2022_2 full audit, shared-pipeline cross-study findings	pre_process_data/audit/mancio_silva2022/AUDIT.md (1778 lines)	D001-D024,D040-D046,D047-D061 shared-pipeline sections
Mancio-Silva2022 supporting evidence files	exact_duplicate_trace.tsv, DUPLICATE_TABLE.md, duplicate_assay_comparison.tsv, source_to_final_lineage.tsv, expression_concordance.tsv, historical_c80580f_silva.R, historical_c80580f_singleR.R, historical_stage_comparison.tsv, and ~140 other files under this directory	pre_process_data/audit/mancio_silva2022/*	D001-D013, historical lineage reconstruction, D047,D048 historical comparison
Sa2020 supporting evidence files	sa2020_authoritative_sample_crosswalk.tsv, sa2020_gametocyte_filter_summary.tsv, sa2020_gametocyte_code_effect_by_prefix.tsv, sa2020_source_annotation_lineage.tsv, sa2020_main_analysis_cell_lineage.tsv, sa2020_lower_threshold_cell_lineage.tsv, sa2020_feature_disposition.tsv, publisher supplements (s030/s034/s036.xlsx)	pre_process_data/audit/mancio_silva2022/sa2020_*, *.xlsx	D014-D019
Hazzard2022 forensic lineage/expression evidence files (commit ea006124)	Deterministic forensic cell/expression lineage audit: exact source->study RDS->deployed lineage, study-RDS-vs-deployed raw/normalized expression concordance, exact-duplicate profile check, raw STARsolo barcode inventory/membership	pre_process_data/audit/mancio_silva2022/hazzard2022_cell_lineage.tsv, hazzard2022_lineage_summary.tsv, hazzard2022_expression_concordance.tsv, hazzard2022_raw_inventory.tsv, hazzard2022_exact_duplicate_profiles.tsv, hazzard2022_barcode_token_reuse.tsv, hazzard2022_cell_totals.tsv, hazzard2022_deployed_annotation_distribution.tsv, hazzard2022_extra_expression_features.tsv, hazzard2022_study_deployed_metadata.tsv, audit_hazzard2022.R, audit_hazzard2022_emptydrops.R	D020,D021,D023,D024,D025 status correction (lineage/expression sub-audit complete)
Hazzard2024 AUDIT.md and evidence	full standalone forensic audit; authoritative_run_table.tsv, metadata_discrepancies.tsv, source_genotype_condition_counts.tsv, hpi_lifecycle_impact.tsv, source_vs_deployed_lifecycle.tsv, all_deposited_run_membership.tsv, exact_count_duplicates.tsv, and ~15 other files	pre_process_data/audit/hazzard2024/AUDIT.md, pre_process_data/audit/hazzard2024/*	D026-D035
Ruberto2022_1 AUDIT.md and evidence	full standalone forensic audit; near_empty_cells_vs_hep59.tsv, hep59_to_study_cellid_map.tsv, deployed_ruberto1_metadata.tsv, ena_PRJNA843856_runs.tsv, ruberto_github_additional_file_1-6.Rmd, inspect_ruberto2022_1.R/.log	pre_process_data/audit/ruberto2022_1/AUDIT.md, pre_process_data/audit/ruberto2022_1/*	D036-D039
Ruberto2022_2 evidence files (audit narrative lives in Mancio-Silva2022 AUDIT.md, see above)	lineage_table.tsv, per_run_cell_counts.tsv, deployed_hpi_distribution.tsv, deployed_pred_gametocyte_distribution.tsv, expression_concordance_starsolo_vs_studyrds.txt, expression_concordance_studyrds_vs_deployed_raw.txt, audit_ruberto2022_2.R	pre_process_data/audit/ruberto2022_2/*	D040-D046
scripts/singleR.R (current, HEAD of plavisca-audit-fixes)	IDC/HPI reference construction, HPI/stage-bin assignment, gametocyte marker/cluster/RenameIdents logic, source/run overrides, post-integration Anopheles+gametocyte removal filter	pre_process_data/scripts/singleR.R	D047,D048,D049,D058,D059,D060,D061; Part 3, 4, 5, 6 of AUDIT.md
scripts/integration.R (current)	merge/JoinLayers ordering, normalization/HVF/scaling/PCA, IntegrateLayers/HarmonyIntegration call, neighbors/clustering	pre_process_data/scripts/integration.R	D050,D051; Part 7 of AUDIT.md
scripts/flatten_data.R and scripts/data_source_manipulation.R (current)	export construction (raw_df/normalize_df/scale_df/cleaned_dataset), top_genes_df/top_genes_exp handling, any_of/clean_names ordering, bibliography table construction	pre_process_data/scripts/flatten_data.R, pre_process_data/scripts/data_source_manipulation.R	D052-D057; Part 8 of AUDIT.md
audit/mancio_silva2022/historical_c80580f_singleR.R, cross_study_historical_integration.txt, singleR_history.txt	Historical (commit c80580f, 2025-09-18) snapshot of singleR.R for cross-version comparison; historical integration script evidence	pre_process_data/audit/mancio_silva2022/*	D047,D048 (cluster index instability across versions)
Installed package source inspection (Seurat 5.3.0, SeuratObject 5.2.0)	Direct printing of installed FindClusters.Seurat, IntegrateLayers, HarmonyIntegration, CreateIntegrationGroups function bodies via env -u R_LIBS_USER pixi run Rscript --vanilla	ephemeral (read-only diagnostics; not saved as a file - reproducible via the documented pixi command)	D047,D050,D051
Direct reference-file load diagnostics (Zhu_SciReps_2016.xls, GenesByOrthologs_Summary.xlsx)	Row/column counts, duplicate-key checks, drop_na count, join cardinality for the IDC/HPI reference construction	pre_process_data/data/Zhu_SciReps_2016.xls, pre_process_data/data/GenesByOrthologs_Summary.xlsx (read-only, no files modified)	D059
PlaViSca application source inspection	config/data_columns.yml, functions/data_columns_config.R, functions/metadata_filter_module.R, functions/embedding_plots.R, functions/helpers_server.R, server.R, ui.R, global.R, functions/preprocessing.R, data/data_source.csv; direct readRDS() dimension/column checks on cleaned_dataset.rds	pre_process_data/PlaViSca application code (read-only inspection; the app directory is a sibling of pre_process_data, at /home/baia/prj/plavisca/PlaViSca)	D062-D069; Part 9 of AUDIT.md, app_data_contract.tsv
git log of pre_process_data repository	Commit history establishing the completed forensic-audit phase (e5b3de5 initial commit through 9e6f947 Ruberto2022_2 completion) and current branch state (plavisca-audit-fixes)	pre_process_data/.git	Baseline confirmation for this consolidation audit; see git log output in AUDIT.md
Partial-audit check: audit/hazzard2022/ directory	Confirmed no dedicated Hazzard2022 publication/accession/QC/provenance forensic-audit file (equivalent to the other five studies' full AUDIT.md) exists - only the preliminary/cross-study paragraph in mancio_silva2022/AUDIT.md L1017-1046; however, commit ea006124 already added a complete forensic cell/expression lineage audit (13 hazzard2022-named files under mancio_silva2022/, see row above), so Hazzard2022 is partially, not fully, unaudited; confirmed via `find audit -iname "*hazzard2022*"` (13 files) and grep for a full-audit section header	N/A (partial-completeness finding, not an absence finding)	D025, DEC08
