field_name	required_or_nullable	implementation_status	type_granularity_provenance_review
study_id	required	NO	study_label alias remains; canonical slug field study_id is not emitted
run_accession	required	PARTIAL	run_id remains per-cell; Mancio multi-run sets are semicolon strings, not a relation
library_id	required	PARTIAL	implemented for Hazzard2024 only
animal_id	nullable	PARTIAL	implemented for Hazzard2024 and Sa2020; nullable elsewhere
donor_id	nullable	PARTIAL	implemented for Ruberto2022_1; Mancio remains true NA
source_cell_id	required	PARTIAL	implemented only for Mancio; other study source IDs remain barcode aliases
reconstructed_barcode	nullable	PARTIAL	implemented only for Mancio; legacy barcode retained elsewhere
parasite_lineage_isolate	required	PARTIAL	not emitted consistently by Mancio/Hazzard2022
per_cell_parasite_genotype	nullable	PARTIAL	Hazzard2024 run table has values only for mono-lineage runs; processed per-cell source columns are dropped
host_species	required	YES	present for all studies
host_taxid	nullable	PARTIAL	proper integer where populated; Sa2020 remains NA despite known species
tissue_or_sample_type	required	YES	canonical vocabulary emitted by study scripts
source_stage_annotation	nullable	NO	no exact schema field; heterogeneous source_state/source_ap2g/liver_form fields remain
parasite_origin_location	nullable	PARTIAL	field present, but Mancio hard-codes unsupported Ubon-Ratchathani province
host_provenance	nullable	PARTIAL	not emitted consistently by all study scripts
experimental_site	nullable	PARTIAL	not emitted consistently; Hazzard2024 table uses a curated institutional label
sequencing_site	nullable	PARTIAL	not emitted consistently; true NA where unresolved
registry_location	nullable	PARTIAL	not emitted consistently
day_post_infection	nullable	YES	integer/true NA assignments; keyed where repaired
treatment	nullable	PARTIAL	harmonized values mostly implemented, but no central vocabulary validator
source_treatment	nullable	PARTIAL	preserved where available; absent in some scripts
infection_design	nullable	PARTIAL	implemented for Hazzard2024 only
biological_replicate_id	nullable	YES	implemented in all reviewed study scripts
biological_replicate_type	required	YES	implemented in all reviewed study scripts
technology	required	PARTIAL	Hazzard2024 uses technology; other studies use obsolete sc_technology alias
sequencer_registered	nullable	PARTIAL	present in most scripts; Sa2020 retains sequencer alias
sequencer_protocol_publication	nullable	PARTIAL	implemented for Hazzard studies; missing elsewhere
study_pmid	required	YES	present and corrected
source_run_count_deposited	required	INCORRECT	stored per-cell despite study-level schema
source_run_count_imported	required	INCORRECT	stored per-cell despite study-level schema
source_run_count_retained	required	INCORRECT	stored per-cell; Sa uses cell count 9766 rather than run count
source_stage_provenance	required	PARTIAL	missing upstream for Hazzard2022/Hazzard2024/Sa2020 and synthesized late
idc_reference_similarity_label	nullable	BLOCKED	implemented in singleR.R but eligibility vector is invalid for most studies
idc_similarity_raw_label	nullable	BLOCKED	implemented but same execution blocker
idc_similarity_score_delta	nullable	BLOCKED	implemented but same execution blocker
idc_similarity_pruned_flag	nullable	BLOCKED	implemented but same execution blocker
idc_heuristic_stage_bin	nullable	BLOCKED	implemented but same execution blocker
source_life_cycle_stage	nullable	PARTIAL	only Ruberto studies populate it; Hazzard2022 source sporozoites do not
harmonized_life_cycle_stage	required	INCORRECT	gametocyte inference only fills NA and therefore cannot supersede existing IDC bins
parasite_broad_stage	required	BLOCKED	deterministic mapping is sound for characters, but upstream harmonized stages are incomplete
pred_gametocyte_sex	nullable	BLOCKED	undefined writer and character-index eligibility bug prevent marker summary/calls
adjudicated_display_stage	nullable	YES	present as nullable placeholder; no adjudications claimed
