decision_id	related_defects	question	alternatives	evidence	downstream_consequence	recommendation	USER_DECISION_REQUIRED
DEC01	D011	"Should the 14 proven "".1"" duplicate representations of single upstream GEO count columns be removed from the analytic (non-archival) Mancio-Silva2022 object?"	(a) Remove all 14, keep unsuffixed counterpart; (b) retain all 1494 with a duplicate flag and let downstream analyses decide; (c) investigate further to establish the author-side mechanism before deciding	exact_duplicate_trace.tsv, DUPLICATE_TABLE.md: both members of each pair match one upstream GEO column exactly across all layers	Removing changes cell membership -> requires full re-normalization/integration/annotation/export for Mancio-Silva2022 cells and re-running the merged atlas	FINAL — option (a), effective for PlaViSca v1: remove exactly the 14 proven .1 duplicate representations because each shares a demonstrated upstream source identity with its retained unsuffixed counterpart; retain every original/source representation and preserve complete removal provenance in dec01_removed_duplicate_cells.tsv.	FALSE
DEC02	D012	How should the unresolved D5Seq1/D5Seq2 cross-array exact-duplicate pair be handled?	(a) Flag both, retain both, exclude from any analysis requiring cell independence; (b) arbitrarily pick one as survivor; (c) exclude both	mancio_silva2022/AUDIT.md L554-585: identical over all 85,578 features at the pre-parasite-object GEO stage, but distinct array/GEO-sample labels exist	Any exclusion changes cell membership -> full downstream regeneration for affected cells	FINAL — effective for PlaViSca v1: retain both D5 cells as ordinary distinct observations because they derive from distinct source samples and no provenance evidence establishes duplication; exact expression identity alone is insufficient, and no duplicate/suspicion flag is required.	FALSE
DEC03	D018	What is the authoritative Sa2020 inclusion population: PlaViSca's 9766 STARsolo-filtered cells, the publication's 9215-cell main analysis, or a tiered scheme?	(a) Adopt publication-faithful 9018-cell overlap subset as primary, tag the rest as reprocessing-only; (b) keep all 9766 as the primary population, tag main-list membership as a covariate; (c) full reprocessing to recover the 197 missing main-list cells	sa2020_main_analysis_cell_lineage.tsv, sa2020_lower_threshold_cell_lineage.tsv: 9018 overlap, 748 extra, 197 missing from PlaViSca	Choosing (a) changes cell membership (selecting the existing 9018-overlap subset requires no raw reprocessing) -> full downstream normalization/integration/annotation regeneration; choosing (c) also changes cell membership and may additionally require raw reprocessing to recover the 197 missing cells -> same full downstream regeneration, plus FASTQ/alignment-level work if needed; (b) is metadata-only (tag as covariate, no membership change) -> no downstream normalization/integration/annotation regeneration, only export regeneration for the new covariate column	Adopt (b): retain 9766 as primary population but add an explicit main_analysis_member boolean covariate; this is metadata-only and preserves maximal information while being transparent about the QC-definition difference	TRUE
DEC04	D022	What QC/inclusion authority should Hazzard2022 use: PlaViSca's own emptyDrops reprocessing (2858 cells) or the publication's read/mapping-based QC (2609+2363)?	(a) Keep PlaViSca's independent reprocessing as primary, document the discrepancy; (b) reprocess to match publication QC; (c) defer until the full Hazzard2022 forensic audit (DEC08) is complete	mancio_silva2022/AUDIT.md L1017-1046 (preliminary only); exact per-run correspondence unaudited	(b) requires raw reprocessing and full downstream regeneration; (a)/(c) are non-blocking for now	Defer to (c): resolve this only after the missing full Hazzard2022 forensic audit is completed (DEC08); do not choose between (a)/(b) on preliminary evidence alone	TRUE
DEC05	D023	How should the Hazzard2022 sequencer/instrument conflict (script says NovaSeq6000 for all runs; ENA registers HiSeq2500 for runs 500/501) be resolved?	(a) Trust ENA registration per-run; (b) trust script/publication prose; (c) retain both as separate fields with an explicit conflict flag	mancio_silva2022/AUDIT.md L1017-1046	Metadata-only regardless of choice	Adopt (c): retain sequencer_registered and sequencer_protocol_publication as separate fields; do not silently resolve the conflict	TRUE
DEC06	D030,D031	Hazzard2024: how should biological_replicate be modeled given repeated-measures library structure (10 animals, 24 libraries), and how should geographic_location be split, especially NIH-1993-F3's unresolved exact origin?	"(a) animal_id copied into biological_replicate_id (biological_replicate_type=""animal"") as the sole replicate unit, with library_id retained separately as a nested repeated-measures covariate; (b) treat every library as an independent replicate (status quo via NA); (c) further literature/author-contact investigation for NIH-1993-F3 origin before assigning any label"	authoritative_run_table.tsv (10 animals/24 libraries fully reconstructed)	Metadata-only; no cell/expression change	"Adopt (a) for replicate structure now; adopt (c) for NIH-1993-F3 origin (leave parasite_origin_location as ""unresolved"" rather than guessing Salvador-I by proximity to a related but distinct lineage)"	TRUE
DEC07	D035,D048	What should be the authoritative sex-annotation source for Hazzard2024 (and other studies) where author PseudoGroup/Type and PlaViSca cluster-derived Female/Male gametocyte substantially disagree?	(a) Prefer author-provided sex label (PseudoGroup/Type) wherever available, treat cluster-derived call as a secondary/QC field; (b) prefer a corrected, re-validated cluster-based call; (c) require independent marker-based validation before trusting either, store both with no default preference	source_vs_deployed_lifecycle.tsv (Hazzard2024: 2387 discordant cells), sa2020_source_vs_final_gametocytes.tsv (Sa2020: 188 discordant cells)	(a) is metadata-only; (b) requires the D047/D048 clustering repair (atlas-wide Harmony/clustering rerun) before it can be trusted; (c) is metadata-only but leaves ambiguity for app display	Adopt (c) as an interim state (store both source_pseudogroup/source_sex_annotation and pred_gametocyte_sex separately, prefer neither by default) until the D047/D048 clustering repair is complete and independently validated against known marker genes; only then consider (a) vs (b) for the adjudicated_display_stage field	TRUE
DEC08	D025	Now that a forensic cell/expression lineage audit for Hazzard2022 is complete (commit ea006124: exact lineage table, expression concordance, duplicate forensics, raw-barcode inventory), should the remaining publication/accession/QC/provenance reconciliation be completed before any Hazzard2022-specific repair is finalized?	(a) Complete the remaining publication/accession/QC/provenance reconciliation first (matching the rigor already applied to lineage/expression and to the other five studies' full audits); (b) proceed with repairs based on the completed lineage/expression evidence plus the existing preliminary publication/QC paragraph only	hazzard2022_cell_lineage.tsv, hazzard2022_lineage_summary.tsv, hazzard2022_expression_concordance.tsv, hazzard2022_raw_inventory.tsv, hazzard2022_exact_duplicate_profiles.tsv (commit ea006124) prove exact lineage and zero expression/duplicate mismatches; mancio_silva2022/AUDIT.md L1017-1046 remains the only publication/QC/provenance-reconciliation evidence, unlike the other five studies' dedicated full audits	(a) delays only the publication-QC/accession reconciliation (D022,D023,D024), not the already-complete lineage/expression evidence, and does not block the other five studies or the shared-pipeline (singleR.R/integration.R/flatten_data.R) repairs; (b) risks repairing against the still-unreconciled 2858 vs 2609+2363 discrepancy (D022) and unresolved sequencer conflict (D023)	Adopt (a): complete the remaining publication/accession/QC/provenance reconciliation before finalizing DEC04/DEC05 or any Hazzard2022 QC-driven cell-membership change; the forensic lineage/expression audit itself is already complete and authoritative, and does not need to be repeated	TRUE
DEC09	D036	How should Ruberto2022_1's 538 near-empty-expression replicate-2 cells be repaired: realign/reprocess, substitute author-derived counts, or flag/exclude?	(a) Investigate FASTQ/STARsolo alignment logs for SRR19573609/SRR19573610 first, then realign if a fixable technical fault is found; (b) substitute the authors' own local-object counts for these 538 cell IDs (byte-level provenance of that author object is unresolved); (c) flag and retain with a caveat, or exclude, without further reprocessing	near_empty_cells_vs_hep59.tsv: authors' object shows real signal (median nCount_RNA 718.5) for the identical cell IDs; PlaViSca's own STARsolo-vs-study-object concordance is exact, ruling out an R-level import bug; UPDATE 2026-09-20 (ruberto2022_1/D036_resolution.md): option (a) was pursued to completion - a controlled kallisto|bustools re-alignment (the authors' own successful methodology) of the content-verified local FASTQ found abundant parasite-mappable signal in 609/610 but none of it attributable to the 538 known real-cell barcodes (same null result as STARsolo), while the identical method correctly recovers strong signal at the known real cells of the unaffected control runs 611/612. This rules out reprocessing (option a) as a viable repair path with the public deposit's current content.	(a) requires raw reprocessing and full downstream regeneration for these cells (and likely the whole study, then the atlas); (b) requires establishing byte-level provenance of the author object first, then a targeted count substitution plus downstream regeneration; (c) is a metadata/inclusion-only change	Pursue (a) first (investigate STARsolo Summary.csv/alignment logs to root-cause the implausibly large barcode space and low per-cell UMI pattern in the two affected runs); fall back to (c) explicit flagging if reprocessing does not resolve the issue within a reasonable effort; do not pursue (b) without first resolving the author object's Zenodo provenance UPDATE 2026-09-20: pursue (c)/explicit flagging (already implemented: near_empty_expression_flag, total_umi_count) rather than further reprocessing; option (a) has now been tried with a fundamentally different, more sensitive method and failed at the cell-barcode level, not merely the aggregate-signal level. Option (b) (author-object substitution) evaluated in D036_resolution.md Part 10: provenance is now well-documented but still requires explicit project-lead sign-off before use, since it would mix two different alignment methodologies within one study's population. UPDATE 2026-09-20 (Phase 2, project-lead decision, FINAL): the project lead has formally decided to adopt option (b) for the complete 1,438-cell Ruberto2022_1 population (not only the 538 D036-affected cells): use the complete author-derived raw UMI matrix (data/Hep59.1.2.seu_20aug2025.rds, RNA counts layer) for ALL 1,438 cells, not just the 538 previously near-empty ones, so that the study is internally consistent on a single counting pipeline rather than mixing STARsolo counts (900 cells) with author kallisto/bustools counts (538 cells) within one study. Rationale: (1) public FASTQ/STARsolo reconstruction is confirmed not reproducible for the 538 cells (D036_resolution.md); (2) independent kallisto reprocessing of the same FASTQ did not rescue them either - the defect is upstream of alignment method; (3) the author RNA counts layer is confirmed non-negative integer raw UMI counts (rna_counts_validation.tsv); (4) the exact 1,438-cell crosswalk is one-to-one with zero unmapped/duplicate IDs (cell_crosswalk_validation.tsv); (5) the 900 unaffected cells show strong positive expression/cell-identity concordance between the author matrix and PlaViScas own STARsolo reconstruction (cell_identity_test.tsv: rank-1 match 85-100% depending on run vs 0.16-0.39% chance rate), supporting that the author matrix for the unaffected cells measures the same biological cells, not a different/relabeled population; (6) all 4,722 author PVP01 gene IDs map exactly and unambiguously into PlaViScas 6,811-feature panel (author_gene_mapping.tsv). Explicit residual caveat retained, NOT resolved by this decision: byte-level identity of the local dated object (Hep59.1.2.seu_20aug2025.rds) to the canonical Zenodo-deposited RDS remains unconfirmed - this is a provenance completeness caveat, not a reason to distrust the validated counts, and is recorded in count_provenance_status for all affected cells. This decision replaces D036/DEC09 as an open blocker: it is no longer a blocker for Phase 2, since the scientific sign-off is now given; implementation proceeds in scripts/ruberto2022_1_pv_analysis_script.R using the author RNA counts layer for all 1,438 cells, explicit source_of_counts/counting_pipeline/count_reference_version/count_provenance_status metadata, and zero-fill ONLY the 2,089 PlaViSca features confirmed/inferred structurally absent from the author reference (see phase2_feature_coverage.tsv), never interpreting reference-absent genes as unconditional biological zero without that evidence trail.	FALSE
DEC10	D049	"Should the post-integration ""male/female gametocyte AND Anopheles host"" cell-removal step be retained, redesigned, or removed entirely?"	(a) Remove the filter entirely, since it can delete source-defined cells based solely on a downstream classifier's incompatible output; (b) retain but gate strictly on source-defined tissue/population type rather than solely on classifier output, and log every removed cell; (c) retain unchanged	singleR.R L142-146 (source/run override) vs L329-331 (later, unconditional gametocyte-cluster override, see D045) vs L460-465 (filter): currently 0 cells are actually removed today, but only because no known Anopheles-host cell currently lands in the gametocyte cluster after both overrides run in sequence - the later cluster override can re-overwrite the earlier Sporozoite relabeling for any cell (known or future) whose expression profile clusters as gametocyte, making the current zero-removal outcome a data accident, not a structural guarantee	(a)/(b) are logic-only for currently-known studies (zero deployed removals observed today) but (b) requires an explicit logging mechanism and must be implemented together with the D045 fix (scoping the gametocyte-cluster override to skip source-selection-defined stages), since D049's filter alone cannot be made safe while D045 remains unfixed; (c) leaves both the ordering risk and the latent data-loss risk unaddressed	Adopt (b): gate the filter on tissue_or_sample_type/source_stage_provenance rather than solely on classifier output, log every cell ever removed with its ID, study, and reason, and apply the D045 override-scoping fix in the same change so the source-selection-defined Sporozoite relabeling can no longer be silently undone before this filter runs	TRUE
