stage	input_artifacts	output_artifacts	responsible_code	current_code_matches_deployed_lineage	output_exists_in_repo	currently_reproducible	downstream_dependencies
source/raw data	Author-deposited GEO/ENA/Zenodo objects, FASTQ files, publisher supplements	none (external)	N/A (external authoritative sources, snapshotted under each study's audit directory)	N/A	Partially (author objects/supplements cached as audit evidence; not all raw FASTQ retained locally)	Only for studies where PlaViSca performs its own alignment (Sa2020, Ruberto2022_1, Ruberto2022_2, Hazzard2022 use STARsolo/emptyDrops on FASTQ; Mancio-Silva2022 and Hazzard2024 reuse author-deposited processed objects directly)	study-specific reconstruction
study-specific reconstruction	Raw/author data above	silva2022.rds equivalent (silva.R), sa2020.rds, ruberto2022_1.rds, ruberto2022_2.rds, hazzard2022.rds, hazzard2024.rds (via 6 chunk scripts + hazzard2024_merge_all.R)	scripts/silva.R, scripts/sa2020_pv_analysis_script.R, scripts/ruberto2022_1_pv_analysis_script.R, scripts/ruberto2022_2_pv_analysis_script.R, scripts/hazzard2022_pv_analysis_script.R, scripts/hazzard2024_pv_combined_*.R + hazzard2024_merge_all.R	NO for Mancio-Silva2022 (deployed app data matches an OLDER script snapshot, commit c80580f, not current silva.R; current silva.R also has a proven barcode-assignment bug producing NA where deployed data has none - D010); NOT ESTABLISHED for the other five studies (no build manifest; per-study .rds files ARE present and their expression content is proven exactly reproducible from STARsolo/deposited inputs, but exact executed script version/date is unverified)	Yes (all six per-study .rds files present in pre_process_data/ root)	Yes for expression/counts (proven exact reproduction from source for Sa2020, Ruberto2022_1 [with the D036 caveat], Ruberto2022_2, Hazzard2024; Mancio-Silva2022 raw counts exact from deposited object); NO for exact historical metadata/annotation reproduction without a build manifest	merge
merge	silva2022.rds, sa2020.rds, ruberto2022_1.rds, ruberto2022_2.rds, hazzard2022.rds, hazzard2024.rds	pv.combined.all (in-memory; not saved as its own artifact)	scripts/integration.R L8-20 (Reduce(merge, ...))	NOT ESTABLISHED (central integrated object pv_all_studies.rds is absent from the repository; cannot compare)	No (the merged pre-normalization object is never saved separately)	Yes, structurally (each per-study .rds loads and merges without error; produces 6 unjoined data layers per D050/D051)	normalization/HVF/scaling/PCA
normalization/HVF/scaling/PCA	pv.combined.all (6-layer merged object)	pv.combined.all with data/scale.data layers, HVF list, pca reduction (in-memory)	scripts/integration.R L22-30 (NormalizeData, FindVariableFeatures [global, 2000 features], ScaleData, RunPCA)	NOT ESTABLISHED (no manifest)	No (intermediate, not saved separately)	Yes, structurally reproducible from merge output	Harmony integration
Harmony integration	pca reduction, 6-layer merged object	pca_integrated reduction (in-memory)	scripts/integration.R L43-52 (IntegrateLayers method=HarmonyIntegration group_by="study_label" [ignored, see D050], then JoinLayers)	NOT ESTABLISHED; group_by is confirmed non-functional as written (D050), so even a re-executed current script would not group by study_label as intended	No (central pv_all_studies.rds with integration results is absent from repo)	Structurally yes (the code runs), but the SEMANTIC claim "integrated by study" is NOT reproducible/valid as currently written (D050,D051); a full Harmony run was not performed in this audit	neighbors/clustering
neighbors/clustering	pca_integrated reduction	RNA_snn graph, cluster identities (in-memory)	scripts/integration.R L65-77 (FindNeighbors, FindClusters loop with correct graph.name="RNA_snn" usage)	NOT ESTABLISHED	No	Yes, structurally reproducible, but cluster IDENTITY-to-population correspondence is proven unstable across script versions (D048) so numeric labels are not reproducible in meaning	SingleR/HPI
SingleR/HPI	pca_integrated + RNA_snn cluster graph, Zhu SMRU1 reference workbook, PVX-PvP01 orthology table	hour_post_invasion (mislabeled), parasite_stages (binned), pred.IDC.all (transient, not persisted)	scripts/singleR.R L20-103	NO — confirmed FindClusters(graph_name=...) silently falls back to a different graph than the script visually implies (D047); confirmed reference construction drops 318/5226 genes silently (D059); confirmed no gating before classification (D058)	No (all intermediate; final labels only visible in cleaned_dataset.rds, itself proven stale relative to current singleR.R per D046/D054)	Structurally yes for the classification call itself; NOT reproducible for the meaning of "hour_post_invasion" without renaming/re-gating (D058); the deployed labels are proven NOT to match a fresh execution of current singleR.R (D046,D054)	lifecycle overrides
lifecycle overrides	SingleR/HPI output, per-study source stage fields, run_id lists	parasite_stages with source/run overrides applied (liver forms, sporozoites, Ruberto2022_2, Hazzard2022 runs 498/499)	scripts/singleR.R L100-146, L364-458	NO (historical order applied these overrides AFTER cluster gametocyte labeling; current code applies them BEFORE, changing which label wins in edge cases — D045,D048's shared mechanism)	No	Yes structurally, but override-vs-cluster precedence is order-dependent and undocumented as a formal rule (fixed by annotation_precedence.tsv going forward)	gametocyte annotation
gametocyte annotation	AddModuleScore results, RNA_snn/new_clustering-intended graph	Female/Male gametocyte labels via RenameIdents, cluster 2/4 hard-coded	scripts/singleR.R L183-320	NO — cluster index-to-label mapping changed between historical (cluster 5=male) and current (cluster 4=male) versions on what should be comparable input (D048); FindClusters graph mismatch (D047) further undermines reproducibility	No	NOT reproducible in the sense that a rerun cannot be guaranteed to produce the same cluster-to-population correspondence	final metadata harmonization / post-integration removal
post-integration removal	parasite_stages, host_species	pv.combined.all with Anopheles+gametocyte cells removed (subset())	scripts/singleR.R L460-465	NOT ESTABLISHED whether historical builds removed any cells this way (D049); no removed-cell log exists	No	Structurally yes; exact historical removal count is unrecoverable	final metadata harmonization
final metadata harmonization	all prior fields	pv.combined.all fully annotated, saved as pv_all_studies.rds	scripts/singleR.R (remaining lines) + feature-ID conversion at L484-485	NOT ESTABLISHED (pv_all_studies.rds itself is absent from the repository entirely — this is the single biggest reproducibility gap in the whole pipeline)	NO — pv_all_studies.rds does not exist anywhere in the repository	NO, this is the critical missing artifact; nothing downstream can be regenerated from it because it does not exist	flatten/export
flatten/export	pv_all_studies.rds (absent — see above)	normalize_df.rds, raw_df.rds, scale_df.rds, cleaned_dataset.rds	scripts/flatten_data.R, scripts/data_source_manipulation.R	NO — confirmed multiple divergences (D052 top_genes bug, D053 any_of/clean_names bug, D054 schema divergence proving deployed data predates current export code)	Yes (all four .rds files exist under PlaViSca/data/), but proven to have been produced by an OLDER, uncharacterized combination of script versions, not the current checked-out flatten_data.R	NO for exact reproduction of deployed artifacts from current code; the deployed exports cannot be regenerated from current scripts without first fixing D052-D055 AND recreating pv_all_studies.rds (itself missing)	PlaViSca application
PlaViSca application	normalize_df.rds, cleaned_dataset.rds (mr_data), data_source.csv	rendered Shiny app views	PlaViSca/global.R, server.R, ui.R, functions/*.R	Partially — the config-driven get_data_column() paths are consistent with the current exported schema; several dead-code paths (D063,D065) reference a DIFFERENT, non-existent schema (development_phase/parasite_stages as literal column names), indicating the app itself carries remnants of at least one other historical schema version	Yes (app code present, data files loaded successfully per app-audit agent)	Partially — the live/wired code paths work against the current cleaned_dataset.rds; several sourced-but-dead modules would break immediately if re-enabled, since they target a schema that was apparently correct at some past pipeline version but is not the current one	(terminal stage)
