attribute	plavisca_starsolo	authors_kallisto_bustools	source_evidence
alignment_algorithm	STAR 2.7.11b, splice-aware full-genome alignment (STARsolo)	kallisto 0.46.0, k-mer (k=31) pseudoalignment against a transcriptome (bustools 0.39.3 for barcode/UMI processing)	counts/36093191/SRR19573609_solo_out/Log.out; Zenodo 10.5281/zenodo.6463338 Hep_KallistoBUS_10xV3_aln.sh
reference_scope	Plasmodium vivax P01 ONLY (242 reference sequences: chromosomes + unplaced contigs); no human sequence at all	COMBINED Homo sapiens GRCh38 (Ensembl v103 cDNA, all transcripts) + Plasmodium vivax P01 (PlasmoDB-51 annotated transcripts); single combined kallisto index	Log.out genomeParameters ("genomeFastaFiles PlasmoDB-68_PvivaxP01_Genome.fasta", "Number of real (reference) chromosomes= 242"); Homo38_v103ens_PvivaxP01_PlasmoDBv51_Index.sh ("kallisto index ... Homo_sapiens.GRCh38.cdna.all.fa.gz PlasmoDB-51_PvivaxP01_AnnotatedTranscripts.fa.gz")
target_representation	Full genome (requires STAR to correctly predict/use splice junctions per read to call a gene-level count)	Transcriptome only (annotated mature transcript sequences; pseudoalignment does not require independent splice-junction discovery per read)	Same as above
annotation_version	PlasmoDB release 68	PlasmoDB release 51 (17 releases / several years older)	scripts/ruberto2022_1_pv_analysis_script.R ("scripts/ref/PlasmoDB-68_PvivaxP01.gff"); ruberto_github_additional_file_1.Rmd ("plasmodb.org/.../release-51/...")
chemistry / barcode+UMI structure	10x v3: soloCBlen=16, soloUMIlen=12, soloCBwhitelist=3M-february-2018.txt (6,794,880 barcodes), soloBarcodeMate=1, clip5pNbases "28 0", alignIntronMin/Max 1/2756	10x v3 (kallisto bus -x 10xv3); whitelist correction via bustools correct against the standard 10x v3 whitelist (10x_version3_whitelist.txt, 6,794,880 barcodes, downloaded from the same Zenodo record and confirmed byte-for-byte-equivalent barcode count to STARsolo's whitelist)	Log.out "Final effective command line"; Hep_KallistoBUS_10xV3_count.sh ("bustools correct -w /path/to/10xv3_whitelist.txt"); Zenodo file listing
counting mode	soloFeatures Gene GeneFull, soloUMIfiltering MultiGeneUMI	bustools count --genecounts (gene-level, standard bustools UMI collapsing)	Log.out; Hep_KallistoBUS_10xV3_count.sh
empty-droplet / cell calling	STARsolo internal CellRanger2.2-style automatic knee filter for diagnostic "Estimated Number of Cells" (not used for the retained population - PlaViSca subsets to the author-supplied Hep59 barcode list instead)	DropletUtils::emptyDrops(lower=1000) on the kallisto/bustools gene-count matrix (per-sample, e.g. lower=1000 in ruberto_github_additional_file_1.Rmd)	ruberto2022_1_pv_analysis_script.R (barcodeRanks() diagnostic only, emptyDrops commented out, final population from Hep59.1.2.seu subset); ruberto_github_additional_file_1.Rmd chunk "filtering reads rep 1 day 5 post infection"
host-read handling	Not applicable - host reads never mapped in the first place (parasite-only reference), so they are implicitly excluded, not computationally separated	Explicit downstream step: "we first process the data to filter reads from human hepatocytes, leaving us with only P. vivax transcripts" (i.e. align to combined index, then partition genes/counts by species of origin post hoc using the combined Hs_Pv_T2G.txt)	ruberto_github_README.md ("Pv_Hep_scRNAseq_additional_file_2.Rmd ... filter reads from human hepatocytes, leaving us with only P. vivax transcripts")
software versions	STAR 2.7.11b (2024 release)	kallisto 0.46.0 / bustools 0.39.3 (~2019-2020 releases); this investigation used kallisto 0.51.1 / bustools 0.45.1 (current releases) for the controlled re-alignment experiment, not the authors' exact historical versions	Log.out; Hep_KallistoBUS_10xV3_aln.sh module load lines; D036_candidate_processing.tsv
recovered signal, rep1 (611/612)	Concentrated: 276-156 "cells", median UMI/cell 179-4,706, STARsolo recovers real signal	(not independently re-verified in this investigation for rep1 - assumed comparable to the authors' published rep1 results, since rep1 needs no rescue)	D036_blocker_report.md; this investigation's kallisto controlled experiment (D036_candidate_processing.tsv) includes 611 only as a non-rescue control, not a full re-characterization
recovered signal, rep2 (609/610)	Near-total loss: 517 zero-UMI + 21 one-UMI cells of 538 known real cells; max single-barcode UMI in the entire 6.79M-barcode raw matrix is 1,593 (609) / 2,179 (610)	Authors' processed object shows real signal for the identical cell IDs (median nCount_RNA 718.5, max 18,273)	D036_blocker_report.md; near_empty_cells_vs_hep59.tsv
assessment	See D036_resolution.md for the controlled kallisto|bustools re-alignment result on the SAME local FASTQ files and its cell-level rescue verdict.	—	D036_candidate_processing.tsv, D036_cell_level_rescue.tsv
